Nationality,Residence,Q4,Q5,Q6,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Q19_15,Q19_16,Q19_17,Q19_18,Q19_19,Q19_20,Q19_21,Q19_22,Q19_23,Q19_24,Q19_25,Q19_26,Q19_27,Q19_28,Q19_29,Q19_30,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Lextale,Wellbeing,Selfcontrol,Emotionality,Sociability,TEIQue,TVReactionsEN,TVReactionsTR,SocialMediaEN,SocialMediaTR
TR,TR,2,33,5,1,11,2,1,9,6,6,6,6,6,6,6,6,6,3,4,7,4,7,5,7,6,4,4,4,5,5,4,6,6,6,6,2,6,6,5,6,5,5,6,7,5,4,4,5,6,6,6,5,6,6,2,5,4,5,4,5,4,4,2,4,4,6,68.75,5.16667,4.83333,5.25,5.66667,5.23333,14,19,6,10
TR,TR,2,23,5,4,11,2,1,9,6,6,6,6,6,6,6,6,6,6,6,7,6,5,5,6,6,2,4,5,5,5,3,6,6,3,5,3,7,4,4,7,6,2,4,5,6,5,5,2,5,5,5,7,5,5,3,6,6,5,6,6,6,4,4,6,6,6,68.75,4.33333,4.33333,5.75,4.83333,4.73333,21,21,10,12
TR,TR,2,29,5,2,2,2,1,9,2,6,6,6,6,6,6,6,6,6,7,7,2,2,7,7,4,5,4,4,3,4,4,4,5,4,4,4,7,4,3,5,5,3,4,3,5,3,4,3,4,5,4,5,3,2,4,5,5,5,6,6,5,3,4,5,6,6,68.75,3.66667,3.33333,4.875,4.33333,4.03333,20,19,10,11
TR,TR,1,23,5,4,7,2,1,9,6,3,6,6,6,6,6,6,6,6,5,7,4,3,4,4,7,5,6,6,6,6,5,6,5,6,5,3,4,5,5,4,5,6,4,7,6,2,4,6,6,5,5,4,6,4,3,4,5,4,5,5,4,3,4,4,5,4,68.75,5.33333,4.33333,4.875,5.66667,5.13333,17,16,9,8
TR,TR,1,33,4,1,4,2,1,9,6,6,6,6,6,6,6,6,6,6,3,7,4,2,7,7,4,4,4,4,4,4,3,5,4,4,5,3,3,3,4,4,5,3,4,4,3,5,5,7,1,3,4,3,4,4,4,1,4,4,7,7,3,1,4,7,4,3,70,4.33333,4,4.125,3.33333,3.9,18,13,8,10
TR,TR,1,29,6,1,3,2,1,2,6,6,6,6,6,6,6,6,6,6,2,7,5,2,4,5,2,6,6,5,4,7,7,7,6,7,6,6,2,5,5,5,4,6,5,4,5,5,4,4,6,5,4,5,5,3,1,1,4,4,4,4,4,2,4,4,4,4,70,4.66667,5,4.375,6,5.03333,13,11,8,8
TR,TR,1,32,5,1,3,1,1,9,6,3,6,9,6,3,6,2,6,6,5,7,3,7,5,7,6,5,7,6,7,6,2,6,6,6,5,4,2,3,5,6,5,4,6,3,5,4,6,5,2,6,5,4,5,4,3,7,5,7,4,7,5,4,5,2,5,7,70,5,4.5,5,5,4.86667,17,25,10,9
TR,TR,2,42,6,3,1,1,1,9,3,6,6,6,6,6,6,2,6,3,7,7,7,7,7,7,5,7,6,4,7,7,1,5,7,5,6,1,4,7,7,3,7,7,5,7,4,5,6,6,4,6,7,7,5,2,4,4,5,6,6,6,7,1,6,6,5,6,71.25,5.83333,4,5.5,5.33333,5.33333,22,17,11,12
TR,TR,2,22,5,4,7,2,1,2,6,6,6,6,6,6,6,6,6,3,6,7,3,6,4,7,7,3,4,6,6,3,5,5,6,6,3,7,7,4,6,4,4,6,4,6,4,5,3,2,4,4,4,4,6,5,3,3,5,5,5,4,4,5,5,5,6,5,71.25,5.16667,5.16667,4.625,4,4.76667,17,17,11,10
TR,TR,2,22,5,4,6,1,1,9,6,3,6,6,6,6,6,6,3,6,6,7,5,5,4,6,5,5,6,6,7,6,6,7,5,6,5,4,6,6,6,7,6,6,6,7,6,7,3,6,7,6,7,7,6,1,4,5,6,6,6,4,6,5,4,5,5,6,71.25,6,5.33333,5.75,6,5.8,22,20,9,11
